Path,Text,Person_Voice,Mfcc_Fratures
D:\Capstone\VoiceDatasets\Output\Noise removed\biden-original_out\segment_1.wav,"My fellow Americans and the people that brought me the dance. Delawareians. I see my buddy, Senator Tom Carper down there, and I think Senator Coons is there and I think the governor's around. Is that Ruth Ann? And former Governor Ruth Ann Miner, most importantly, my.",biden-original_out,"[-3.27785400e+02  1.04024963e+02 -5.18411751e+01  2.25689030e+00
 -9.35968304e+00 -1.54347610e+01 -1.60660286e+01 -1.66794071e+01
 -1.55941429e+01  4.38956833e+00 -1.21570148e+01 -2.75236130e+00
 -3.81432605e+00 -1.54393835e+01 -8.02666759e+00 -9.29354727e-02
 -1.14321842e+01 -2.55989939e-01 -9.77776718e+00 -1.45642292e+00
 -7.24983215e+00 -5.01816893e+00 -9.61058807e+00 -2.96993923e+00
 -5.04870176e+00  7.67308250e-02 -1.33502215e-01  3.64236569e+00
 -1.52033901e+00  4.50824738e-01 -1.80411232e+00 -4.52308685e-01
 -5.53548932e-02 -1.04645455e+00 -2.91519260e+00 -7.69295871e-01
 -8.87152612e-01 -3.57616246e-01 -2.89063144e+00 -9.00485098e-01]"
D:\Capstone\VoiceDatasets\Output\Noise removed\biden-original_out\segment_2.wav,"Sisters in law. My sister Valerie. Anyway, folks, the people of this nation have spoken. They've delivered us a clear victory, a convincing victory. A victory for we, the people. We've won with the most votes ever cast from presidential ticket in the history of the nation. 74 million.",biden-original_out,"[-3.41456238e+02  9.84139557e+01 -4.09224205e+01  2.76644444e+00
  7.26791525e+00 -3.52477837e+00 -2.65445766e+01 -1.55600605e+01
 -1.05200300e+01 -3.74326468e+00 -1.25330315e+01 -3.10725117e+00
 -3.51681352e+00 -3.81233978e+00 -8.51077271e+00 -2.52064610e+00
 -1.70212002e+01 -7.17178822e+00 -1.10385218e+01 -6.38241243e+00
 -1.19441919e+01 -3.51120996e+00 -4.58357763e+00  2.47204065e+00
  3.72592241e-01  6.86676741e+00 -3.03890109e-01 -7.15148628e-01
 -3.49541831e+00  2.97987133e-01 -2.18944716e+00 -9.60627615e-01
 -2.52810097e+00 -1.49992919e+00 -1.67246306e+00 -6.36457443e-01
 -2.19604182e+00 -1.50819147e+00 -4.71003866e+00 -2.67756176e+00]"
D:\Capstone\VoiceDatasets\Output\Noise removed\biden-original_out\segment_3.wav,"You what I must admit has surprised me tonight. We're seeing all over this nation, all cities, in all parts of the country, indeed, across the world, an outpouring of joy, of hope, renewed faith. And tomorrow bring a better day. And I'm humbled by the trust and confidence you placed in me.",biden-original_out,"[-3.47581635e+02  9.35518799e+01 -4.14482536e+01 -2.37395501e+00
 -1.01977491e+01 -6.19694662e+00 -1.29458246e+01 -9.36427784e+00
 -1.67548656e+01 -9.34769917e+00 -3.99114752e+00 -3.55413604e+00
 -5.39869356e+00 -6.51766872e+00 -1.07223339e+01 -2.30495763e+00
 -1.28086538e+01 -2.08658671e+00 -1.20930395e+01 -8.66631794e+00
 -1.01733494e+01 -3.82381892e+00 -6.51574612e+00  8.74904692e-01
 -2.50939846e+00  4.52963018e+00  2.08042121e+00 -2.12292179e-01
 -3.09788871e+00 -7.08345771e-01 -3.13975644e+00  1.99147403e+00
 -6.19429767e-01  1.19451010e+00 -2.68973684e+00 -2.08011985e+00
 -1.89554262e+00  3.20184231e-01 -1.31197619e+00 -1.52488661e+00]"
D:\Capstone\VoiceDatasets\Output\Noise removed\biden-original_out\segment_4.wav,"I pledge to be a president who seeks not to divide, but unify, who doesn't see red states and blue states, only sees the United States. And work with all my heart, with the confidence of the whole people to win the confidence of all of you. And for that is what America, I believe, is about. It's about people.",biden-original_out,"[-3.3782980e+02  1.0606649e+02 -4.4957142e+01 -7.4175968e+00
 -6.3084254e+00 -2.0332723e+00 -1.9600794e+01 -9.7842693e+00
 -1.1893378e+01 -5.5404019e+00 -6.8375483e+00 -2.6677272e+00
 -6.6593256e+00 -9.9242201e+00 -1.0610301e+01 -2.1003525e+00
 -1.5706112e+01 -4.3165965e+00 -1.2260197e+01 -7.4810281e+00
 -1.1781128e+01 -1.8565606e+00 -4.6345172e+00  8.5497838e-01
 -1.2362490e+00  1.8234243e+00 -1.8653994e+00  3.2199162e-01
 -1.3171893e+00  2.5894412e-01 -1.7763358e+00 -1.6416093e+00
 -1.9870909e+00 -8.1495978e-02 -1.9316422e+00 -1.4563811e+00
 -2.9024818e+00 -2.3621585e+00 -2.7360361e+00 -1.5801095e+00]"
D:\Capstone\VoiceDatasets\Output\Noise removed\biden-original_out\segment_5.wav,"And that's what our administration will be all about. I sought this office to restore the soul of America. To rebuild the backbone of this nation, the middle class and to make America respected around the world again and to unite us here at home. It's the honor of my lifetime time that so many millions of Americans have voted for that vision. And now.",biden-original_out,"[-3.3329669e+02  9.9206474e+01 -4.5199001e+01 -3.5210290e+00
 -2.4603512e+00 -2.5965803e+00 -1.9279112e+01 -1.3647624e+01
 -1.1689237e+01 -3.3642759e+00 -6.8155255e+00 -3.9373884e+00
 -6.7752366e+00 -8.3274784e+00 -8.8175268e+00  1.5845282e+00
 -1.8048729e+01 -4.5278440e+00 -9.9504137e+00 -8.8493710e+00
 -1.4977421e+01 -4.7973661e+00 -7.8997102e+00  9.3519425e-01
  5.0839722e-01  5.6732459e+00 -4.0503326e-01 -1.9879458e+00
 -1.7634674e+00  2.2440622e+00 -2.9483813e-01  8.5667878e-01
 -2.7542930e+00 -1.8513322e+00 -3.1292534e+00 -4.2437714e-01
 -1.6062322e+00 -1.8720890e+00 -2.6117828e+00 -8.2362467e-01]"
D:\Capstone\VoiceDatasets\Output\Noise removed\biden-original_out\segment_6.wav,"The work of making that vision is real. It's a task detask of our time, folks. As I said many times before, I'm Jill's husband, and I would not be here without her love and tireless support of Jill and my son, hunter and Ash and my daughter and all our grandchildren and their spouses and all.",biden-original_out,"[-3.43088226e+02  1.06378632e+02 -3.83889885e+01 -1.14065075e+01
 -1.58020029e+01 -6.45040751e+00 -1.38496218e+01 -1.45328159e+01
 -1.53546944e+01 -1.22202468e+00 -6.84728432e+00 -5.45164347e+00
 -7.23115206e+00 -1.00111961e+01 -1.05755463e+01 -6.93106130e-02
 -1.85995617e+01 -3.11641955e+00 -9.69797611e+00 -8.92529011e+00
 -1.54163055e+01 -5.79916430e+00 -9.35412216e+00 -6.49608135e-01
 -7.82754421e-01  5.92924833e+00  1.25743783e+00  8.90783191e-01
 -1.56748486e+00  1.48571944e-02  3.20847444e-02  4.01531577e-01
 -2.32403564e+00 -2.75129318e-01 -3.21614695e+00 -2.48974681e-01
 -1.73786056e+00 -3.18025142e-01 -3.92181993e+00 -4.73251671e-01]"
D:\Capstone\VoiceDatasets\Output\Noise removed\biden-original_out\segment_7.wav,"Our family. They're my heart. Jill's a mom, a military mom, an educator. She has dedicated her life to education. But teaching isn't just what she does. It's who she is for american educators. This is a great day for y'all. You're going to have one of your own in the White House. And Jill's gonna make a great first lady. I'm so proud of her.",biden-original_out,"[-3.5659698e+02  8.6899803e+01 -4.4282768e+01 -4.8098224e-01
 -2.2699230e+00 -6.2878428e+00 -2.5339319e+01 -1.7674561e+01
 -1.1490914e+01 -2.6129773e+00 -8.2459927e+00 -3.3567090e+00
 -3.3723431e+00 -6.5109696e+00 -1.1379245e+01 -8.5131967e-01
 -1.6844925e+01 -6.1011376e+00 -1.3750723e+01 -8.9999409e+00
 -9.7010088e+00 -1.1031396e+00 -9.8465222e-01  7.0050311e+00
  1.7851136e+00  3.8431158e+00 -2.7768540e+00 -2.2874007e+00
 -8.1769186e-01  2.1152072e+00 -3.4257498e-01 -6.9533908e-01
 -1.9739774e+00  5.0544816e-01 -2.0195906e+00 -7.8686756e-01
 -3.4400601e+00 -1.7503161e+00 -3.4649186e+00 -3.4367540e+00]"
D:\Capstone\VoiceDatasets\Output\Noise removed\biden-original_out\segment_8.wav,"I'll have the honor of serving with the fantastic vice president who you just heard from, Kamala Harris, who makes history as the first woman, first black woman, the first woman from south asian descent, the first daughter of an immigrant ever elected in this country. Don't tell me it's not possible in the United States.",biden-original_out,"[-3.6431342e+02  9.8954948e+01 -4.7896488e+01 -1.1387664e+01
 -1.1513594e+01 -1.4759388e+00 -1.4566360e+01 -9.2653799e+00
 -1.2297499e+01 -5.4939976e+00 -5.4299393e+00 -3.7789521e+00
 -5.9109621e+00 -8.1384382e+00 -1.2316706e+01 -3.1183130e-01
 -1.2002178e+01 -5.7922683e+00 -1.0697299e+01 -6.7374620e+00
 -7.7272186e+00 -1.4178232e+00 -3.4604614e+00 -7.7594894e-01
 -3.5630934e+00  2.7941525e+00 -1.8760766e-01  5.5451953e-01
  3.3223495e-01  4.9826300e-01 -1.2858795e+00 -2.1448991e+00
 -4.3983185e-01  3.4230122e-01 -1.8123643e+00 -2.9264507e-01
 -1.4384273e+00 -1.9778762e+00 -1.5432068e+00 -1.5427967e+00]"
D:\Capstone\VoiceDatasets\Output\Noise removed\biden-original_out\segment_9.wav,"It's long overdue. And we're reminded tonight of those who fought so hard for so many years to make this happen. Once again, America's bent the arc of the moral universe more toward justice. Kamala Dug, like it or not, your family you become an honorary Biden. There's no way out.",biden-original_out,"[-340.1684      108.526306    -48.59708     -17.39428     -12.19901
   -3.6515288   -16.167318    -14.982603    -19.451498     -4.1334195
   -5.329138     -3.1169302    -5.7333803    -8.290982    -13.335302
   -2.0407388   -14.7278595    -4.68927     -12.303313    -11.061256
  -11.533914     -5.5813346    -5.105464      1.4386052     0.5485971
    6.47354       2.7958136     1.0843555    -1.3557402    -2.1163666
   -1.2282325    -0.41732657   -1.7858554    -1.6383028    -4.4005723
   -2.6524065    -1.9011939    -1.3261421    -3.0017433    -1.6580567 ]"
D:\Capstone\VoiceDatasets\Output\Noise removed\biden-original_out\segment_10.wav,"All those of you volunteered and worked the polls in the middle of the pandemic. Local elected officials, you deserve a special thanks from the entire nation and to my campaign team and all the volunteers and all who gave so much of themselves to make this moment possible. I owe you. You. I owe you everything. And all those who support.",biden-original_out,"[-3.48251740e+02  1.02092865e+02 -3.52561722e+01 -1.24928513e+01
 -1.27406998e+01 -4.02076912e+00 -2.18301010e+01 -1.12451944e+01
 -1.33638515e+01 -5.62447596e+00 -8.38881588e+00 -2.18278718e+00
 -6.27312183e+00 -6.88198042e+00 -8.95459747e+00 -3.19277883e+00
 -1.55973301e+01 -5.47394896e+00 -1.17969828e+01 -9.05930996e+00
 -1.05183229e+01 -1.38260353e+00 -4.17737818e+00  2.50914669e+00
 -1.61749077e+00  1.45947766e+00 -2.21912384e+00 -2.56120110e+00
 -2.25028753e+00  3.09525013e-01 -4.36975241e-01  1.53712884e-01
 -6.56943858e-01 -4.79934931e-01 -1.50166523e+00  1.25896013e+00
 -1.32609010e+00 -2.49742675e+00 -3.49739146e+00 -2.11837578e+00]"
