Path,Text,Person_Voice
D:\Capstone\VoiceDatasets\Output\Noise removed\biden-original_out\segment_1.wav,"My fellow Americans and the people that brought me the dance. Delawareians. I see my buddy, Senator Tom Carper down there, and I think Senator Coons is there and I think the governor's around. Is that Ruth Ann? And former Governor Ruth Ann Miner, most importantly, my.",biden-original_out
D:\Capstone\VoiceDatasets\Output\Noise removed\biden-original_out\segment_2.wav,"Sisters in law. My sister Valerie. Anyway, folks, the people of this nation have spoken. They've delivered us a clear victory, a convincing victory. A victory for we, the people. We've won with the most votes ever cast from presidential ticket in the history of the nation. 74 million.",biden-original_out
D:\Capstone\VoiceDatasets\Output\Noise removed\biden-original_out\segment_3.wav,"You what I must admit has surprised me tonight. We're seeing all over this nation, all cities, in all parts of the country, indeed, across the world, an outpouring of joy, of hope, renewed faith. And tomorrow bring a better day. And I'm humbled by the trust and confidence you placed in me.",biden-original_out
D:\Capstone\VoiceDatasets\Output\Noise removed\biden-original_out\segment_4.wav,"I pledge to be a president who seeks not to divide, but unify, who doesn't see red states and blue states, only sees the United States. And work with all my heart, with the confidence of the whole people to win the confidence of all of you. And for that is what America, I believe, is about. It's about people.",biden-original_out
D:\Capstone\VoiceDatasets\Output\Noise removed\biden-original_out\segment_5.wav,"And that's what our administration will be all about. I sought this office to restore the soul of America. To rebuild the backbone of this nation, the middle class and to make America respected around the world again and to unite us here at home. It's the honor of my lifetime time that so many millions of Americans have voted for that vision. And now.",biden-original_out
D:\Capstone\VoiceDatasets\Output\Noise removed\biden-original_out\segment_6.wav,"The work of making that vision is real. It's a task detask of our time, folks. As I said many times before, I'm Jill's husband, and I would not be here without her love and tireless support of Jill and my son, hunter and Ash and my daughter and all our grandchildren and their spouses and all.",biden-original_out
D:\Capstone\VoiceDatasets\Output\Noise removed\biden-original_out\segment_7.wav,"Our family. They're my heart. Jill's a mom, a military mom, an educator. She has dedicated her life to education. But teaching isn't just what she does. It's who she is for american educators. This is a great day for y'all. You're going to have one of your own in the White House. And Jill's gonna make a great first lady. I'm so proud of her.",biden-original_out
D:\Capstone\VoiceDatasets\Output\Noise removed\biden-original_out\segment_8.wav,"I'll have the honor of serving with the fantastic vice president who you just heard from, Kamala Harris, who makes history as the first woman, first black woman, the first woman from south asian descent, the first daughter of an immigrant ever elected in this country. Don't tell me it's not possible in the United States.",biden-original_out
D:\Capstone\VoiceDatasets\Output\Noise removed\biden-original_out\segment_9.wav,"It's long overdue. And we're reminded tonight of those who fought so hard for so many years to make this happen. Once again, America's bent the arc of the moral universe more toward justice. Kamala Dug, like it or not, your family you become an honorary Biden. There's no way out.",biden-original_out
D:\Capstone\VoiceDatasets\Output\Noise removed\biden-original_out\segment_10.wav,"All those of you volunteered and worked the polls in the middle of the pandemic. Local elected officials, you deserve a special thanks from the entire nation and to my campaign team and all the volunteers and all who gave so much of themselves to make this moment possible. I owe you. You. I owe you everything. And all those who support.",biden-original_out
